ID,Name,Risk Elements,Tags,CreationDate,TP Score (%),APT Profile,Kill Chain Phase,Affected Compliance,Status
1,Threat1,10.10.10.10,no tag,05/31/2018 09:43:05,81,APT1-70%,Exploitation,"PCI, GDPR",Open
2,Threat2,10.10.10.11,tag1,06/19/2019 00:55:33,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
3,Threat3,10.10.10.13,tag2,07/26/2013 19:27:45,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
4,Threat4,10.10.10.12,tag1,02/09/2018 04:17,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
5,Threat5,10.10.10.15,tag0,02/14/2019 17:24:24,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
6,Threat1,10.10.10.10,no tag,02/06/2013 04:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
7,Threat2,10.10.10.11,tag1,11/07/2014 02:47,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
8,Threat3,10.10.10.13,tag2,05/05/2018 13:59,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
9,Threat4,10.10.10.12,tag1,07/01/2013 00:29,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
10,Threat5,10.10.10.15,tag0,04/03/2016 03:35,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
11,Threat1,10.10.10.10,no tag,06/08/2013 11:42,81,APT1-70%,Exploitation,"PCI, GDPR",Open
12,Threat2,10.10.10.11,tag1,10/09/2012 22:13,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
13,Threat3,10.10.10.13,tag2,04/09/2014 11:10,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
14,Threat4,10.10.10.12,tag1,09/10/2014 23:02,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
15,Threat5,10.10.10.15,tag0,06/09/2018 06:33,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
16,Threat1,10.10.10.10,no tag,01/12/2015 07:09,81,APT1-70%,Exploitation,"PCI, GDPR",Open
17,Threat2,10.10.10.11,tag1,01/26/2016 08:53:36,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
18,Threat3,10.10.10.13,tag2,04/05/2019 05:20,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
19,Threat4,10.10.10.12,tag1,12/23/2012 10:02:48,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
20,Threat5,10.10.10.15,tag0,06/15/2015 03:16:15,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
21,Threat1,10.10.10.10,no tag,05/19/2019 20:55:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
22,Threat2,10.10.10.11,tag1,07/20/2018 02:27:01,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
23,Threat3,10.10.10.13,tag2,11/08/2015 20:39,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
24,Threat4,10.10.10.12,tag1,07/21/2013 19:08:17,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
25,Threat5,10.10.10.15,tag0,02/04/2015 12:26,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
26,Threat1,10.10.10.10,no tag,06/18/2016 13:54:55,81,APT1-70%,Exploitation,"PCI, GDPR",Open
27,Threat2,10.10.10.11,tag1,03/17/2020 02:37:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
28,Threat3,10.10.10.13,tag2,12/06/2019 10:02,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
29,Threat4,10.10.10.12,tag1,11/16/2014 15:57:17,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
30,Threat5,10.10.10.15,tag0,07/08/2020 15:27,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
31,Threat1,10.10.10.10,no tag,09/07/2018 05:39,81,APT1-70%,Exploitation,"PCI, GDPR",Open
